year,meeting_date,pdf_url,Special Conference Call
2016,"February 26, 2016 (Special Called Meeting)",https://dps.arkansas.gov/wp-content/uploads/2020/07/aspc_special_called_02262016.pdf,True
2016,"February 23, 2016",https://dps.arkansas.gov/wp-content/uploads/2020/07/aspc_02232016.pdf,False
2016,"January 14, 2016",https://dps.arkansas.gov/wp-content/uploads/2020/07/aspc_01142016.pdf,False
2015,"December 10, 2015",https://dps.arkansas.gov/wp-content/uploads/2020/07/aspc_12102015.pdf,False
2015,"November 18, 2015",https://dps.arkansas.gov/wp-content/uploads/2020/07/aspc_11182015.pdf,False
2015,"October 8, 2015",https://dps.arkansas.gov/wp-content/uploads/2020/07/aspc_10082015.pdf,False
2015,"September 28, 2015",https://dps.arkansas.gov/wp-content/uploads/2020/07/aspc_09282015.pdf,False
2015,"September 9, 2015",https://dps.arkansas.gov/wp-content/uploads/2020/07/aspc_09092015.pdf,False
2015,"August 25, 2015",https://dps.arkansas.gov/wp-content/uploads/2020/07/aspc_08252015.pdf,False
2015,"August 13, 2015",https://dps.arkansas.gov/wp-content/uploads/2020/07/aspc_08132015.pdf,False
2015,"July 9, 2015",https://dps.arkansas.gov/wp-content/uploads/2020/07/aspc_07092915.pdf,False
2015,"June 11, 2015",https://dps.arkansas.gov/wp-content/uploads/2020/07/aspc_06112015.pdf,False
2015,"May 14, 2015",https://dps.arkansas.gov/wp-content/uploads/2020/07/aspc_05142015.pdf,False
2015,"April 25, 2015",https://dps.arkansas.gov/wp-content/uploads/2020/07/aspc_04252015.pdf,False
2015,"April 24, 2015",https://dps.arkansas.gov/wp-content/uploads/2020/07/aspc_04242015.pdf,False
2015,"April 9, 2015",https://dps.arkansas.gov/wp-content/uploads/2020/07/aspc_04092015.pdf,False
2015,"March 12, 2015",https://dps.arkansas.gov/wp-content/uploads/2020/07/aspc_03122015.pdf,False
2015,"February 12, 2015",https://dps.arkansas.gov/wp-content/uploads/2020/07/aspc_02122015.pdf,False
2015,"January 7, 2015",https://dps.arkansas.gov/wp-content/uploads/2020/07/aspc_01072015.pdf,False
2014,"December 11, 2014",https://dps.arkansas.gov/wp-content/uploads/2020/07/aspc_12112014.pdf,False
2014,"November 13, 2014",https://dps.arkansas.gov/wp-content/uploads/2020/07/aspc_11132014.pdf,False
2014,"October 9, 2014",https://dps.arkansas.gov/wp-content/uploads/2020/07/aspc_10092014.pdf,False
2014,"September 10, 2014",https://dps.arkansas.gov/wp-content/uploads/2020/07/aspc_09102014.pdf,False
2014,"August 14, 2014",https://dps.arkansas.gov/wp-content/uploads/2020/07/aspc_08142014.pdf,False
2014,"August 7, 2014",https://dps.arkansas.gov/wp-content/uploads/2020/07/August_7_2014-1.pdf,False
2014,"July 10, 2014",https://dps.arkansas.gov/wp-content/uploads/2020/07/July_10_2014-1.pdf,False
2014,"June 5, 2014",https://dps.arkansas.gov/wp-content/uploads/2020/07/aspc_06052014.pdf,False
2014,"May 8, 2014",https://dps.arkansas.gov/wp-content/uploads/2020/07/aspc_05082014.pdf,False
2014,"April 17, 2014",https://dps.arkansas.gov/wp-content/uploads/2020/07/aspc_04172014.pdf,False
2014,"March 13, 2014",https://dps.arkansas.gov/wp-content/uploads/2020/07/aspc_03132014.pdf,False
2014,"February 28, 2014",https://dps.arkansas.gov/wp-content/uploads/2020/07/aspc_02282014.pdf,False
2014,"January 30, 2014",https://dps.arkansas.gov/wp-content/uploads/2020/07/aspc_01302014.pdf,False
2013,"December 12, 2013",https://dps.arkansas.gov/wp-content/uploads/2020/07/aspc_12122013.pdf,False
2013,"November 14, 2013",https://dps.arkansas.gov/wp-content/uploads/2020/07/aspc_11142013.pdf,False
2013,"October 10, 2013",https://dps.arkansas.gov/wp-content/uploads/2020/07/aspc_10102013.pdf,False
2013,"September 12, 2013",https://dps.arkansas.gov/wp-content/uploads/2020/07/aspc_09122013.pdf,False
2013,"August 8, 2013",https://dps.arkansas.gov/wp-content/uploads/2020/07/aspc_08082013.pdf,False
2013,"August 5, 2013",https://dps.arkansas.gov/wp-content/uploads/2020/07/aspc_08052013.pdf,False
2013,"July 11, 2013",https://dps.arkansas.gov/wp-content/uploads/2020/07/aspc_07112013.pdf,False
2013,"June 6, 2013",https://dps.arkansas.gov/wp-content/uploads/2020/07/aspc_06062013.pdf,False
2013,"June 3, 2013",https://dps.arkansas.gov/wp-content/uploads/2020/07/aspc_06032013.pdf,False
2013,"May 9, 2013",https://dps.arkansas.gov/wp-content/uploads/2020/07/aspc_05092013.pdf,False
2013,"April 11, 2013",https://dps.arkansas.gov/wp-content/uploads/2020/07/aspc_04112013.pdf,False
2013,"March 14, 2013",https://dps.arkansas.gov/wp-content/uploads/2020/07/aspc_03142013.pdf,False
2013,"February 14, 2013",https://dps.arkansas.gov/wp-content/uploads/2020/07/aspc_02142013.pdf,False
