fy,title,title_url,original_solicitation,original_solicitation_url,recipient,state,award_number,amount,status
2023,Assessing the Effectiveness of the Second Chance Act Grant Program through a Phased Evaluation Approach Using an Implementation Science Mixed Methods Approach,https://nij.ojp.gov/funding/awards/2020-cz-bx-0014/2,,,GEORGIA STATE UNIVERSITY RESEARCH FOUNDATION INC,GA,2020-CZ-BX-0014,"$320,000",Open
2023,Audio Deepfake Detection for Forensics and Security,https://nij.ojp.gov/funding/awards/15pnij-23-gg-01933-ress,NIJ FY23 Graduate Research Fellowship,https://nij.ojp.gov/funding/opportunities/o-nij-2023-171521,UNIVERSITY OF ROCHESTER,NY,15PNIJ-23-GG-01933-RESS,"$64,003",Open
2023,Beyond Suspect Identification: Fingerprint Aging with Machine Learning and Multidimensional Chemical Analysis,https://nij.ojp.gov/funding/awards/15pnij-23-gg-01950-ress,NIJ FY23 Graduate Research Fellowship,https://nij.ojp.gov/funding/opportunities/o-nij-2023-171521,IOWA STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY,IA,15PNIJ-23-GG-01950-RESS,"$111,000",Open
2023,Building Better Indigent Defense Systems,https://nij.ojp.gov/funding/awards/15pnij-23-gg-02234-ress,NIJ FY23 Research and Evaluation on the Administration of Justice: Advancing Access to Justice 60 Years after Gideon,https://nij.ojp.gov/funding/opportunities/o-nij-2023-171579,SOUTHERN METHODIST UNIVERSITY,TX,15PNIJ-23-GG-02234-RESS,"$800,000",Open
2023,Building Equity in Objective Prison Classification: A Model for Reducing Racial and Ethnic Disparities,https://nij.ojp.gov/funding/awards/15pnij-23-gg-01363-nijb,NIJ FY23 W.E.B. Du Bois Program of Research on Reducing Racial and Ethnic Disparities in the Justice System,https://nij.ojp.gov/funding/opportunities/o-nij-2023-171519,UNIVERSITY OF MASSACHUSETTS MEDICAL SCHOOL,MA,15PNIJ-23-GG-01363-NIJB,"$599,976",Open
2023,California: A Decade of Decarceration,https://nij.ojp.gov/funding/awards/15pnij-23-gg-01938-ress,NIJ FY23 Graduate Research Fellowship,https://nij.ojp.gov/funding/opportunities/o-nij-2023-171521,SAM HOUSTON STATE UNIVERSITY,TX,15PNIJ-23-GG-01938-RESS,"$32,203",Closed
2023,Can Law Enforcement Training Address Racial and Ethnic Disproportionality? An Experimental Evaluation of Effective Youth Interactions,https://nij.ojp.gov/funding/awards/15pnij-23-gg-05491-ress,"NIJ FY23 Research and Evaluation on Policing Practices, Accountability Mechanisms, and Alternatives",https://nij.ojp.gov/funding/opportunities/o-nij-2023-171675,UNIVERSITY OF PITTSBURGH - OF THE COMMONWEALTH SYSTEM OF HIGHER EDUCATION,PA,15PNIJ-23-GG-05491-RESS,"$999,996",Open
2023,Cannabis liberalization policies and trends in cannabis-related school-based discipline: Examining sociodemographic disparities in Massachusetts,https://nij.ojp.gov/funding/awards/15pnij-23-gg-01954-titl,NIJ FY23 Graduate Research Fellowship,https://nij.ojp.gov/funding/opportunities/o-nij-2023-171521,UNIVERSITY OF MASSACHUSETTS,MA,15PNIJ-23-GG-01954-TITL,"$111,000",Open
2023,Capturing nuclear DNA from hair shafts,https://nij.ojp.gov/funding/awards/15pnij-23-gg-04209-dnax,NIJ FY23 Research and Development in Forensic Science for Criminal Justice Purposes,https://nij.ojp.gov/funding/opportunities/o-nij-2023-171606,GEORGE WASHINGTON UNIVERSITY (THE),DC,15PNIJ-23-GG-04209-DNAX,"$413,504",Open
2023,Caring Connections for Youth: Evaluation of a Countywide Pre-Arrest Diversion Initiative to Reduce Racial/Ethnic Disparities,https://nij.ojp.gov/funding/awards/15pnij-23-gg-02410-titl,NIJ FY23 Research on Juvenile Justice Topics,https://nij.ojp.gov/funding/opportunities/o-nij-2023-171662,UNIVERSITY OF PITTSBURGH - OF THE COMMONWEALTH SYSTEM OF HIGHER EDUCATION,PA,15PNIJ-23-GG-02410-TITL,"$866,309",Open
2023,"Climate, Culture, and Correction Officer Wellness",https://nij.ojp.gov/funding/awards/15pnij-23-gg-06104-ress,NIJ FY23 Research and Evaluation on Correctional Culture and Climate,https://nij.ojp.gov/funding/opportunities/o-nij-2023-171774,SUFFOLK UNIVERSITY,MA,15PNIJ-23-GG-06104-RESS,"$960,132",Open
2023,Community-Led Learning: A Collaborative Approach to Training and Technical Assistance for Violent Crime Problem Analyses,https://nij.ojp.gov/funding/awards/15pnij-23-gg-04270-mumu,"NIJ FY23 Community-Based Violence Intervention and Prevention Initiative (CVIPI) Research, Evaluation, and Associated Training & Technical Assistance Support",https://nij.ojp.gov/funding/opportunities/o-nij-2023-171648,RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK,NY,15PNIJ-23-GG-04270-MUMU,"$1,991,949",Open
2023,Comparison of Examiner Conclusions with Score-based Likelihood Ratios for Cartridge Case Evidence,https://nij.ojp.gov/funding/awards/djo-nij-24-ro-0002,NIJ FY23 Research and Development in Forensic Science for Criminal Justice Purposes,https://nij.ojp.gov/funding/opportunities/o-nij-2023-171606,National Institute of Standards and Technology,,DJO-NIJ-24-RO-0002,"$409,578",Open
2023,"Comprehensive / Holistic Public Safety Approach using research, analysis and evaluation, of problem nature codes in the City of Minneapolis for Alternative Response development.",https://nij.ojp.gov/funding/awards/15pnij-23-gg-00271-brnd,NIJ FY 2023 Invited to Apply — Byrne Discretionary Community Project Funding/Byrne Discretionary Grants Program,https://nij.ojp.gov/funding/opportunities/o-nij-2023-171589,CITY OF MINNEAPOLIS,MN,15PNIJ-23-GG-00271-BRND,"$2,500,000",Open
2023,Comprehensive Evaluation of Kinetic and Thermodynamic Approaches to Predict Evaporation of Ignitable Liquids for Fire Debris Applications,https://nij.ojp.gov/funding/awards/15pnij-23-gg-04231-ress,NIJ FY23 Research and Development in Forensic Science for Criminal Justice Purposes,https://nij.ojp.gov/funding/opportunities/o-nij-2023-171606,MICHIGAN STATE UNIVERSITY,MI,15PNIJ-23-GG-04231-RESS,"$262,678",Open
2023,Criminal Justice Technology Testing and Evaluation Center,https://nij.ojp.gov/funding/awards/15pnij-23-gk-00931-nijb,NIJ FY23 Criminal Justice Technology Testing and Evaluation Center,https://nij.ojp.gov/funding/opportunities/o-nij-2023-171681,RESEARCH TRIANGLE INSTITUTE,NC,15PNIJ-23-GK-00931-NIJB,"$3,500,000",Open
2023,Data and Dashboards: Research and Enhancements to Ensure Mecklenburg County’s Criminal Justice System is a Leader in Data-Driven Decision Making,https://nij.ojp.gov/funding/awards/15pnij-23-gg-00272-brnd,NIJ FY 2023 Invited to Apply — Byrne Discretionary Community Project Funding/Byrne Discretionary Grants Program,https://nij.ojp.gov/funding/opportunities/o-nij-2023-171589,MECKLENBURG COUNTY,NC,15PNIJ-23-GG-00272-BRND,"$1,000,000",Open
